note,num,pathString
D4,15,b/0/0/0/1/0/0/0/1/1/0/1
D4,15,b/0/0/0/1/0/0/0/1/1/1/0
D4,15,b/0/0/0/1/0/0/0/1/1/1/1
D4,15,b/0/0/0/1/0/0/1/0/0/0/0
D4,15,b/0/0/0/1/0/0/1/0/0/0/1
D4,15,b/0/0/0/1/0/0/1/0/0/1/0
D4,15,b/0/0/0/1/0/0/1/0/0/1/1
D4,15,b/0/0/0/1/0/0/1/0/1/0/0
D4,15,b/0/0/0/1/0/0/1/0/1/0/1
D4,15,b/0/0/0/1/0/0/1/0/1/1/0
D4,15,b/0/0/0/1/0/0/1/0/1/1/1
D4,15,b/0/0/0/1/0/0/1/1/0/0/0
D4,15,b/0/0/0/1/0/0/1/1/0/0/1
D4,15,b/0/0/0/1/0/0/1/1/0/1/0
D4,15,b/0/0/0/1/0/0/1/1/0/1/1
D4,15,b/0/0/0/1/0/0/1/1/1/0/0
D4,15,b/0/0/0/1/0/0/1/1/1/0/1
D4,15,b/0/0/0/1/0/0/1/1/1/1/0
D4,15,b/0/0/0/1/0/0/1/1/1/1/1
D4,15,b/0/0/0/1/0/1/0/0/0/0/0
D4,15,b/0/0/0/1/0/1/0/0/0/0/1
D4,15,b/0/0/0/1/0/1/0/0/0/1/0
D4,15,b/0/0/0/1/0/1/0/0/0/1/1
D4,15,b/0/0/0/1/0/1/0/0/1/0/0
D4,15,b/0/0/0/1/0/1/0/0/1/0/1
D4,15,b/0/0/0/1/0/1/0/0/1/1/0
D4,15,b/0/0/0/1/0/1/0/0/1/1/1
D4,15,b/0/0/0/1/0/1/0/1/0/0/0
D4,15,b/0/0/0/1/0/1/0/1/0/0/1
D4,15,b/0/0/0/1/0/1/0/1/0/1/0
D4,15,b/0/0/0/1/0/1/0/1/0/1/1
D4,15,b/0/0/0/1/0/1/0/1/1/0/0
D4,15,b/0/0/0/1/0/1/0/1/1/0/1
D4,15,b/0/0/0/1/0/1/0/1/1/1/0
D4,15,b/0/0/0/1/0/1/0/1/1/1/1
D4,15,b/0/0/0/1/0/1/1/0/0/0/0
D4,15,b/0/0/0/1/0/1/1/0/0/0/1
D4,15,b/0/0/0/1/0/1/1/0/0/1/0
D4,15,b/0/0/0/1/0/1/1/0/0/1/1
D4,15,b/0/0/0/1/0/1/1/0/1/0/0
D4,15,b/0/0/0/1/0/1/1/0/1/0/1
D4,15,b/0/0/0/1/0/1/1/0/1/1/0
D4,15,b/0/0/0/1/0/1/1/0/1/1/1
D4,15,b/0/0/0/1/0/1/1/1/0/0/0
D4,15,b/0/0/0/1/0/1/1/1/0/0/1
D4,15,b/0/0/0/1/0/1/1/1/0/1/0
D4,15,b/0/0/0/1/0/1/1/1/0/1/1
D4,15,b/0/0/0/1/0/1/1/1/1/0/0
D4,15,b/0/0/0/1/0/1/1/1/1/0/1
D4,15,b/0/0/0/1/0/1/1/1/1/1/0
D4,15,b/0/0/0/1/0/1/1/1/1/1/1
D4,15,b/0/0/0/1/1/0/0/0/0/0/0
D4,15,b/0/0/0/1/1/0/0/0/0/0/1
D4,15,b/0/0/0/1/1/0/0/0/0/1/0
D4,15,b/0/0/0/1/1/0/0/0/0/1/1
D4,15,b/0/0/0/1/1/0/0/0/1/0/0
D4,15,b/0/0/0/1/1/0/0/0/1/0/1
D4,15,b/0/0/0/1/1/0/0/0/1/1/0
D4,15,b/0/0/0/1/1/0/0/0/1/1/1
D4,15,b/0/0/0/1/1/0/0/1/0/0/0
D4,15,b/0/0/0/1/1/0/0/1/0/0/1
D4,15,b/0/0/0/1/1/0/0/1/0/1/0
D4,15,b/0/0/0/1/1/0/0/1/0/1/1
D4,15,b/0/0/0/1/1/0/0/1/1/0/0
D4,15,b/0/0/0/1/1/0/0/1/1/0/1
D4,15,b/0/0/0/1/1/0/0/1/1/1/0
D4,15,b/0/0/0/1/1/0/0/1/1/1/1
D4,15,b/0/0/0/1/1/0/1/0/0/0/0
D4,15,b/0/0/0/1/1/0/1/0/0/0/1
D4,15,b/0/0/0/1/1/0/1/0/0/1/0
D4,15,b/0/0/0/1/1/0/1/0/0/1/1
D4,15,b/0/0/0/1/1/0/1/0/1/0/0
D4,15,b/0/0/0/1/1/0/1/0/1/0/1
D4,15,b/0/0/0/1/1/0/1/0/1/1/0
D4,15,b/0/0/0/1/1/0/1/0/1/1/1
D4,15,b/0/0/0/1/1/0/1/1/0/0/0
D4,15,b/0/0/0/1/1/0/1/1/0/0/1
D4,15,b/0/0/0/1/1/0/1/1/0/1/0
D4,15,b/0/0/0/1/1/0/1/1/0/1/1
D4,15,b/0/0/0/1/1/0/1/1/1/0/0
D4,15,b/0/0/0/1/1/0/1/1/1/0/1
D4,15,b/0/0/0/1/1/0/1/1/1/1/0
D4,15,b/0/0/0/1/1/0/1/1/1/1/1
D4,15,b/0/0/0/1/1/1/0/0/0/0/0
D4,15,b/0/0/0/1/1/1/0/0/0/0/1
D4,15,b/0/0/0/1/1/1/0/0/0/1/0
D4,15,b/0/0/0/1/1/1/0/0/0/1/1
D4,15,b/0/0/0/1/1/1/0/0/1/0/0
D4,15,b/0/0/0/1/1/1/0/0/1/0/1
D4,15,b/0/0/0/1/1/1/0/0/1/1/0
D4,15,b/0/0/0/1/1/1/0/0/1/1/1
D4,15,b/0/0/0/1/1/1/0/1/0/0/0
D4,15,b/0/0/0/1/1/1/0/1/0/0/1
D4,15,b/0/0/0/1/1/1/0/1/0/1/0
D4,15,b/0/0/0/1/1/1/0/1/0/1/1
D4,15,b/0/0/0/1/1/1/0/1/1/0/0
D4,15,b/0/0/0/1/1/1/0/1/1/0/1
D4,15,b/0/0/0/1/1/1/0/1/1/1/0
D4,15,b/0/0/0/1/1/1/0/1/1/1/1
D4,15,b/0/0/0/1/1/1/1/0/0/0/0
D4,15,b/0/0/0/1/1/1/1/0/0/0/1
D4,15,b/0/0/0/1/1/1/1/0/0/1/0
D4,15,b/0/0/0/1/1/1/1/0/0/1/1
D4,15,b/0/0/0/1/1/1/1/0/1/0/0
D4,15,b/0/0/0/1/1/1/1/0/1/0/1
D4,15,b/0/0/0/1/1/1/1/0/1/1/0
D4,15,b/0/0/0/1/1/1/1/0/1/1/1
D4,15,b/0/0/0/1/1/1/1/1/0/0/0
D4,15,b/0/0/0/1/1/1/1/1/0/0/1
D4,15,b/0/0/0/1/1/1/1/1/0/1/0
D4,15,b/0/0/0/1/1/1/1/1/0/1/1
D4,15,b/0/0/0/1/1/1/1/1/1/0/0
D4,15,b/0/0/0/1/1/1/1/1/1/0/1
D4,15,b/0/0/0/1/1/1/1/1/1/1/0
D4,15,b/0/0/0/1/1/1/1/1/1/1/1
C#4,14,b/0/0/1/0/0/0/0/0/0/0/0
C#4,14,b/0/0/1/0/0/0/0/0/0/0/1
C#4,14,b/0/0/1/0/0/0/0/0/0/1/0
C#4,14,b/0/0/1/0/0/0/0/0/0/1/1
C#4,14,b/0/0/1/0/0/0/0/0/1/0/0
C#4,14,b/0/0/1/0/0/0/0/0/1/0/1
C#4,14,b/0/0/1/0/0/0/0/0/1/1/0
C#4,14,b/0/0/1/0/0/0/0/0/1/1/1
C#4,14,b/0/0/1/0/0/0/0/1/0/0/0
C#4,14,b/0/0/1/0/0/0/0/1/0/0/1
C#4,14,b/0/0/1/0/0/0/0/1/0/1/0
C#4,14,b/0/0/1/0/0/0/0/1/0/1/1
C#4,14,b/0/0/1/0/0/0/0/1/1/0/0
C#4,14,b/0/0/1/0/0/0/0/1/1/0/1
C#4,14,b/0/0/1/0/0/0/0/1/1/1/0
C#4,14,b/0/0/1/0/0/0/0/1/1/1/1
C#4,14,b/0/0/1/0/0/0/1/0/0/0/0
C#4,14,b/0/0/1/0/0/0/1/0/0/0/1
C#4,14,b/0/0/1/0/0/0/1/0/0/1/0
C#4,14,b/0/0/1/0/0/0/1/0/0/1/1
C#4,14,b/0/0/1/0/0/0/1/0/1/0/0
C#4,14,b/0/0/1/0/0/0/1/0/1/0/1
C#4,14,b/0/0/1/0/0/0/1/0/1/1/0
C#4,14,b/0/0/1/0/0/0/1/0/1/1/1
C#4,14,b/0/0/1/0/0/0/1/1/0/0/0
C#4,14,b/0/0/1/0/0/0/1/1/0/0/1
C#4,14,b/0/0/1/0/0/0/1/1/0/1/0
C#4,14,b/0/0/1/0/0/0/1/1/0/1/1
C#4,14,b/0/0/1/0/0/0/1/1/1/0/0
C#4,14,b/0/0/1/0/0/0/1/1/1/0/1
C#4,14,b/0/0/1/0/0/0/1/1/1/1/0
C#4,14,b/0/0/1/0/0/0/1/1/1/1/1
C#4,14,b/0/0/1/0/0/1/0/0/0/0/0
C#4,14,b/0/0/1/0/0/1/0/0/0/0/1
C#4,14,b/0/0/1/0/0/1/0/0/0/1/0
C#4,14,b/0/0/1/0/0/1/0/0/0/1/1
C#4,14,b/0/0/1/0/0/1/0/0/1/0/0
C#4,14,b/0/0/1/0/0/1/0/0/1/0/1
C#4,14,b/0/0/1/0/0/1/0/0/1/1/0
C#4,14,b/0/0/1/0/0/1/0/0/1/1/1
C#4,14,b/0/0/1/0/0/1/0/1/0/0/0
C#4,14,b/0/0/1/0/0/1/0/1/0/0/1
C#4,14,b/0/0/1/0/0/1/0/1/0/1/0
C#4,14,b/0/0/1/0/0/1/0/1/0/1/1
C#4,14,b/0/0/1/0/0/1/0/1/1/0/0
C#4,14,b/0/0/1/0/0/1/0/1/1/0/1
C#4,14,b/0/0/1/0/0/1/0/1/1/1/0
C#4,14,b/0/0/1/0/0/1/0/1/1/1/1
C#4,14,b/0/0/1/0/0/1/1/0/0/0/0
C#4,14,b/0/0/1/0/0/1/1/0/0/0/1
C#4,14,b/0/0/1/0/0/1/1/0/0/1/0
C#4,14,b/0/0/1/0/0/1/1/0/0/1/1
C#4,14,b/0/0/1/0/0/1/1/0/1/0/0
C#4,14,b/0/0/1/0/0/1/1/0/1/0/1
C#4,14,b/0/0/1/0/0/1/1/0/1/1/0
C#4,14,b/0/0/1/0/0/1/1/0/1/1/1
C#4,14,b/0/0/1/0/0/1/1/1/0/0/0
C#4,14,b/0/0/1/0/0/1/1/1/0/0/1
C#4,14,b/0/0/1/0/0/1/1/1/0/1/0
C#4,14,b/0/0/1/0/0/1/1/1/0/1/1
C#4,14,b/0/0/1/0/0/1/1/1/1/0/0
C#4,14,b/0/0/1/0/0/1/1/1/1/0/1
C#4,14,b/0/0/1/0/0/1/1/1/1/1/0
C#4,14,b/0/0/1/0/0/1/1/1/1/1/1
C#4,14,b/0/0/1/0/1/0/0/0/0/0/0
C#4,14,b/0/0/1/0/1/0/0/0/0/0/1
C#4,14,b/0/0/1/0/1/0/0/0/0/1/0
C#4,14,b/0/0/1/0/1/0/0/0/0/1/1
C#4,14,b/0/0/1/0/1/0/0/0/1/0/0
C#4,14,b/0/0/1/0/1/0/0/0/1/0/1
C#4,14,b/0/0/1/0/1/0/0/0/1/1/0
C#4,14,b/0/0/1/0/1/0/0/0/1/1/1
C#4,14,b/0/0/1/0/1/0/0/1/0/0/0
C#4,14,b/0/0/1/0/1/0/0/1/0/0/1
C#4,14,b/0/0/1/0/1/0/0/1/0/1/0
C#4,14,b/0/0/1/0/1/0/0/1/0/1/1
C#4,14,b/0/0/1/0/1/0/0/1/1/0/0
C#4,14,b/0/0/1/0/1/0/0/1/1/0/1
C#4,14,b/0/0/1/0/1/0/0/1/1/1/0
C#4,14,b/0/0/1/0/1/0/0/1/1/1/1
C#4,14,b/0/0/1/0/1/0/1/0/0/0/0
C#4,14,b/0/0/1/0/1/0/1/0/0/0/1
C#4,14,b/0/0/1/0/1/0/1/0/0/1/0
C#4,14,b/0/0/1/0/1/0/1/0/0/1/1
C#4,14,b/0/0/1/0/1/0/1/0/1/0/0
C#4,14,b/0/0/1/0/1/0/1/0/1/0/1
C#4,14,b/0/0/1/0/1/0/1/0/1/1/0
C#4,14,b/0/0/1/0/1/0/1/0/1/1/1
C#4,14,b/0/0/1/0/1/0/1/1/0/0/0
C#4,14,b/0/0/1/0/1/0/1/1/0/0/1
C#4,14,b/0/0/1/0/1/0/1/1/0/1/0
C#4,14,b/0/0/1/0/1/0/1/1/0/1/1
C#4,14,b/0/0/1/0/1/0/1/1/1/0/0
C#4,14,b/0/0/1/0/1/0/1/1/1/0/1
C#4,14,b/0/0/1/0/1/0/1/1/1/1/0
C#4,14,b/0/0/1/0/1/0/1/1/1/1/1
C#4,14,b/0/0/1/0/1/1/0/0/0/0/0
C#4,14,b/0/0/1/0/1/1/0/0/0/0/1
C#4,14,b/0/0/1/0/1/1/0/0/0/1/0
C#4,14,b/0/0/1/0/1/1/0/0/0/1/1
C#4,14,b/0/0/1/0/1/1/0/0/1/0/0
C#4,14,b/0/0/1/0/1/1/0/0/1/0/1
C#4,14,b/0/0/1/0/1/1/0/0/1/1/0
C#4,14,b/0/0/1/0/1/1/0/0/1/1/1
C#4,14,b/0/0/1/0/1/1/0/1/0/0/0
C#4,14,b/0/0/1/0/1/1/0/1/0/0/1
C#4,14,b/0/0/1/0/1/1/0/1/0/1/0
C#4,14,b/0/0/1/0/1/1/0/1/0/1/1
C#4,14,b/0/0/1/0/1/1/0/1/1/0/0
C#4,14,b/0/0/1/0/1/1/0/1/1/0/1
C#4,14,b/0/0/1/0/1/1/0/1/1/1/0
C#4,14,b/0/0/1/0/1/1/0/1/1/1/1
C#4,14,b/0/0/1/0/1/1/1/0/0/0/0
C#4,14,b/0/0/1/0/1/1/1/0/0/0/1
C#4,14,b/0/0/1/0/1/1/1/0/0/1/0
C#4,14,b/0/0/1/0/1/1/1/0/0/1/1
C#4,14,b/0/0/1/0/1/1/1/0/1/0/0
C#4,14,b/0/0/1/0/1/1/1/0/1/0/1
C#4,14,b/0/0/1/0/1/1/1/0/1/1/0
C#4,14,b/0/0/1/0/1/1/1/0/1/1/1
C#4,14,b/0/0/1/0/1/1/1/1/0/0/0
C#4,14,b/0/0/1/0/1/1/1/1/0/0/1
C#4,14,b/0/0/1/0/1/1/1/1/0/1/0
C#4,14,b/0/0/1/0/1/1/1/1/0/1/1
C#4,14,b/0/0/1/0/1/1/1/1/1/0/0
C#4,14,b/0/0/1/0/1/1/1/1/1/0/1
C#4,14,b/0/0/1/0/1/1/1/1/1/1/0
C#4,14,b/0/0/1/0/1/1/1/1/1/1/1
D4,15,b/0/0/1/1/0/0/0/0/0/0/0
D4,15,b/0/0/1/1/0/0/0/0/0/0/1
D4,15,b/0/0/1/1/0/0/0/0/0/1/0
D4,15,b/0/0/1/1/0/0/0/0/0/1/1
D4,15,b/0/0/1/1/0/0/0/0/1/0/0
D4,15,b/0/0/1/1/0/0/0/0/1/0/1
D4,15,b/0/0/1/1/0/0/0/0/1/1/0
D4,15,b/0/0/1/1/0/0/0/0/1/1/1
D4,15,b/0/0/1/1/0/0/0/1/0/0/0
D4,15,b/0/0/1/1/0/0/0/1/0/0/1
D4,15,b/0/0/1/1/0/0/0/1/0/1/0
D4,15,b/0/0/1/1/0/0/0/1/0/1/1
D4,15,b/0/0/1/1/0/0/0/1/1/0/0
D4,15,b/0/0/1/1/0/0/0/1/1/0/1
D4,15,b/0/0/1/1/0/0/0/1/1/1/0
D4,15,b/0/0/1/1/0/0/0/1/1/1/1
D4,15,b/0/0/1/1/0/0/1/0/0/0/0
D4,15,b/0/0/1/1/0/0/1/0/0/0/1
D4,15,b/0/0/1/1/0/0/1/0/0/1/0
D4,15,b/0/0/1/1/0/0/1/0/0/1/1
D4,15,b/0/0/1/1/0/0/1/0/1/0/0
D4,15,b/0/0/1/1/0/0/1/0/1/0/1
D4,15,b/0/0/1/1/0/0/1/0/1/1/0
D4,15,b/0/0/1/1/0/0/1/0/1/1/1
D4,15,b/0/0/1/1/0/0/1/1/0/0/0
D4,15,b/0/0/1/1/0/0/1/1/0/0/1
D4,15,b/0/0/1/1/0/0/1/1/0/1/0
D4,15,b/0/0/1/1/0/0/1/1/0/1/1
D4,15,b/0/0/1/1/0/0/1/1/1/0/0
D4,15,b/0/0/1/1/0/0/1/1/1/0/1
D4,15,b/0/0/1/1/0/0/1/1/1/1/0
D4,15,b/0/0/1/1/0/0/1/1/1/1/1
D4,15,b/0/0/1/1/0/1/0/0/0/0/0
D4,15,b/0/0/1/1/0/1/0/0/0/0/1
D4,15,b/0/0/1/1/0/1/0/0/0/1/0
D4,15,b/0/0/1/1/0/1/0/0/0/1/1
D4,15,b/0/0/1/1/0/1/0/0/1/0/0
D4,15,b/0/0/1/1/0/1/0/0/1/0/1
D4,15,b/0/0/1/1/0/1/0/0/1/1/0
D4,15,b/0/0/1/1/0/1/0/0/1/1/1
D4,15,b/0/0/1/1/0/1/0/1/0/0/0
D4,15,b/0/0/1/1/0/1/0/1/0/0/1
D4,15,b/0/0/1/1/0/1/0/1/0/1/0
D4,15,b/0/0/1/1/0/1/0/1/0/1/1
D4,15,b/0/0/1/1/0/1/0/1/1/0/0
D4,15,b/0/0/1/1/0/1/0/1/1/0/1
D4,15,b/0/0/1/1/0/1/0/1/1/1/0
D4,15,b/0/0/1/1/0/1/0/1/1/1/1
D4,15,b/0/0/1/1/0/1/1/0/0/0/0
D4,15,b/0/0/1/1/0/1/1/0/0/0/1
D4,15,b/0/0/1/1/0/1/1/0/0/1/0
D4,15,b/0/0/1/1/0/1/1/0/0/1/1
D4,15,b/0/0/1/1/0/1/1/0/1/0/0
D4,15,b/0/0/1/1/0/1/1/0/1/0/1
D4,15,b/0/0/1/1/0/1/1/0/1/1/0
D4,15,b/0/0/1/1/0/1/1/0/1/1/1
D4,15,b/0/0/1/1/0/1/1/1/0/0/0
D4,15,b/0/0/1/1/0/1/1/1/0/0/1
D4,15,b/0/0/1/1/0/1/1/1/0/1/0
D4,15,b/0/0/1/1/0/1/1/1/0/1/1
D4,15,b/0/0/1/1/0/1/1/1/1/0/0
D4,15,b/0/0/1/1/0/1/1/1/1/0/1
D4,15,b/0/0/1/1/0/1/1/1/1/1/0
D4,15,b/0/0/1/1/0/1/1/1/1/1/1
D4,15,b/0/0/1/1/1/0/0/0/0/0/0
D4,15,b/0/0/1/1/1/0/0/0/0/0/1
D4,15,b/0/0/1/1/1/0/0/0/0/1/0
D4,15,b/0/0/1/1/1/0/0/0/0/1/1
D4,15,b/0/0/1/1/1/0/0/0/1/0/0
D4,15,b/0/0/1/1/1/0/0/0/1/0/1
D4,15,b/0/0/1/1/1/0/0/0/1/1/0
D4,15,b/0/0/1/1/1/0/0/0/1/1/1
D4,15,b/0/0/1/1/1/0/0/1/0/0/0
D4,15,b/0/0/1/1/1/0/0/1/0/0/1
D4,15,b/0/0/1/1/1/0/0/1/0/1/0
D4,15,b/0/0/1/1/1/0/0/1/0/1/1
D4,15,b/0/0/1/1/1/0/0/1/1/0/0
D4,15,b/0/0/1/1/1/0/0/1/1/0/1
D4,15,b/0/0/1/1/1/0/0/1/1/1/0
D4,15,b/0/0/1/1/1/0/0/1/1/1/1
D4,15,b/0/0/1/1/1/0/1/0/0/0/0
D4,15,b/0/0/1/1/1/0/1/0/0/0/1
D4,15,b/0/0/1/1/1/0/1/0/0/1/0
D4,15,b/0/0/1/1/1/0/1/0/0/1/1
D4,15,b/0/0/1/1/1/0/1/0/1/0/0
D4,15,b/0/0/1/1/1/0/1/0/1/0/1
D4,15,b/0/0/1/1/1/0/1/0/1/1/0
D4,15,b/0/0/1/1/1/0/1/0/1/1/1
D4,15,b/0/0/1/1/1/0/1/1/0/0/0
